Date,IONQ,RGTI,QBTS,QUBT,^IXIC
2025/12/12,0.0,0.0,0.0,0.0,0.0
,-0.08500494357505706,-0.09042147800224165,-0.09460583612266582,-0.08939626363396269,-0.005939157423247909
,-0.013505468238003804,-0.02222221897428933,-0.06473026727177367,-0.0727554588627567,-0.0036088972254544327
,-0.08937438205311787,-0.08812264792310565,-0.15186721118171642,-0.13041798836428764,-0.021635953134437447
,-0.07765640448672051,-0.046360190579934124,-0.14190871461245091,-0.1168730820406445,-0.00814008034909608
2025/12/19,-0.03713999977270921,0.027586180185103393,-0.0962655459793289,-0.08049535260926621,0.004847958395163499
,0.06971206042904932,0.23333326269079246,0.019916993138531014,0.04024763939773246,0.010073655723885855
,0.020655430924429563,0.11570882810820904,-0.026556069994470244,-0.02825075611167205,0.015808029133220547
,-0.01052629186412557,0.05440613239615533,-0.05228216634596561,-0.05147058497880286,0.018027055908983014
,-0.08639520567923964,-0.031034461843052696,-0.11535272376107619,-0.13390096638504734,0.01715571340241473
2025/12/29,-0.10129093602142591,0.0019156795528649795,-0.12282161597379926,-0.13815788211079716,0.012036113054585185
,-0.10009925031915412,0.005747111737085309,-0.13692950589936592,-0.13273994910686038,0.009653309590063941
,-0.10883812727527564,0.0019156795528649795,-0.14854771232529462,-0.14280187740974382,0.0020185371634569016
,-0.0711022467696294,0.07777772987076736,-0.0863070494100634,-0.0866872971319943,0.0017443690921981059
,-0.032571984892737715,0.1739463196100941,-0.007468892212723066,-0.0321207398918274,0.00865052471272354
2026/01/06,0.008142996223184484,0.19808429121573878,0.007468892212723066,-0.01780189586319414,0.01517557324156682
,-0.011320748998973396,0.15708813492510942,-0.03319506770731395,-0.02438084614531777,0.016775448350263567
,0.001986142837119509,0.12183909037156537,-0.00912868121248167,-0.022832823107735267,0.012280557130403436
,-0.017874830952462117,0.07701150189671568,-0.02738588535125408,-0.043343685472897686,0.02052926057898463
,0.011916629731910433,0.10344823050300578,0.004979208713084882,-0.011996883286060522,0.023225976380622848
2026/01/13,-0.02800397001276622,0.10421453155554805,-0.029875568850892154,-0.05301860801638547,0.022189930941811875
,0.010526367627728073,0.15517238229375407,0.038174276420398945,-0.004643995298946657,0.011924037593023185
,-0.055412059292595295,0.10038309937132772,0.010788391069144865,-0.04411762317788781,0.014436178329489513
,0.008937453358032199,0.10459768208181908,0.05394187620262869,-0.008513905265300825,0.013805490720850688
,0.006156929149667256,0.036015345606086324,-0.009958496569265507,-0.032894751410618595,-0.010383610475207528
2026/01/21,-0.04011910038298505,-0.002298830079136005,-0.03402488306409779,-0.08397833063002591,0.0012783002118488263
,-0.020258126593403314,0.05095785073820602,-0.0041493933563011565,-0.034055768688805554,0.010383610475207528
,-0.06156898844226244,-0.018007709342288458,-0.04896266748954381,-0.09249223589532674,0.013195433080718688
,-0.1386295879596483,-0.09003832747597051,-0.10041493933563017,-0.15789473295716838,0.017511811920029485
,-0.09652426897594124,-0.05402298186988419,-0.06141076841535187,-0.13660993288701573,0.026812896374320827
2026/01/28,-0.09036741558987649,-0.04329505944825596,-0.07634855284079789,-0.1482198104136806,0.028552465841192864
,-0.14121146000250018,-0.11034486689739498,-0.15518671003813822,-0.23181113528431085,0.021122898448264316
,-0.20595827698415403,-0.18697321826783952,-0.23070536837905675,-0.29682662658675685,0.01149594469551718
,-0.23416082339883093,-0.19655176218914516,-0.2248962651660925,-0.3146285224499509,0.01711302199819853
,-0.23594831407043737,-0.18007665495194103,-0.19917016881459704,-0.2952786773629754,0.002587587478434239
2026/02/04,-0.29811318324563696,-0.22950190358506262,-0.24232365394808097,-0.33475230524191657,-0.012528032548532853
,-0.3956305615219392,-0.34061307153499976,-0.3518672349246451,-0.42047212488232233,-0.02822053385811485
,-0.30506449376654965,-0.2061303061104507,-0.21742737295336945,-0.3146285224499509,-0.007068669249987836
,-0.2953326590372719,-0.18735636879411066,-0.2165975575965856,-0.31927244393509646,0.0018753904432049495
,-0.3010923596195152,-0.21685822853207892,-0.25643154387364775,-0.3432662843210186,-0.003996488021524525
2026/02/11,-0.3324726588099811,-0.24750961292735119,-0.2912863214376248,-0.3641640786317756,-0.005548535284866651
,-0.37835153553881185,-0.2789272252966749,-0.3203319957886376,-0.41989165315012944,-0.02578207158060164
,-0.3225421719151902,-0.2463601613485379,-0.29709542465058913,-0.37732197919602306,-0.027958406952147796
,-0.34101288360058946,-0.29348657990252347,-0.3319502022145663,-0.3966718242829985,-0.02659127156978991
,-0.33783513082480043,-0.2693486813753694,-0.31867220678887886,-0.37383900117526336,-0.019035819266992826
2026/02/19,-0.336047640153194,-0.25747130737492785,-0.3178423122889995,-0.35758512834965184,-0.022092506968087622
,-0.36643494368870255,-0.30804600758686274,-0.34439834271192205,-0.3839009294781468,-0.013326033411960148
,-0.3886792131192254,-0.30842915811313387,-0.34605809214013294,-0.38003094569799145,-0.024483562420011484
,-0.37199599210543266,-0.28505748756003124,-0.3269709935014813,-0.3622291236485985,-0.014291347530175913
,-0.33286988737740497,-0.24712646240108005,-0.2796680358686007,-0.3177244947113149,-0.0018577076130562586
2026/02/26,-0.18808337026808952,-0.22835252508474002,-0.24979254616080404,-0.27863779877796824,-0.013657544375272779
,-0.237934456907557,-0.28045975432326875,-0.30207471250676965,-0.3258513942172201,-0.02271847915535352
,-0.23853026187689175,-0.2743294920599124,-0.28713692808132363,-0.3154024601549411,-0.019241529524389955
,-0.2641509362487168,-0.30114944427096424,-0.3585062326374888,-0.34365329008041423,-0.029250937632068652
,-0.262562021979021,-0.2754789436387257,-0.3236514946450595,-0.3126934936529727,-0.016714232076367574
