Date,IONQ,RGTI,QBTS,QUBT,^IXIC
2025/03/13,0.0,0.0,0.0,0.0,0.0
,0.16986424979929104,0.4688856501685146,0.29143906159833044,0.2822857448032925,0.026069457524154904
,0.16658864418042252,0.6179450871280188,0.4608380313520879,0.27542855398995525,0.029223262165033903
,0.06130086169848625,0.5629523052420344,0.5719490845594737,0.17257145472935265,0.011622797289263076
,0.09031344511151573,0.5340087721477409,0.5245902066502892,0.13199996948242188,0.025878694108153466
,-0.010762818930858398,0.2575976515596923,0.34608382050632636,0.02742854527064731,0.02245973960680847
,0.04164713873171588,0.20984078745069468,0.34608382050632636,0.036571393694196486,0.02780100237709271
,0.22227420746186533,0.2619392850340756,0.593806988122672,0.11771425519670764,0.05118069573562489
,0.19560122759345178,0.27062227595553745,0.5446265748220938,0.12228567940848212,0.05599312619586927
,0.16050530009947317,0.1968163010685018,0.45901649596069394,0.04914289202008937,0.03444543889751839
,0.10669156245941758,0.16642555681608018,0.44626600878770106,-0.0319999694824219,0.028955628993826865
,0.06925594216726383,0.09696093937612305,0.539162142359088,-0.06857147216796877,0.0011547394944950717
,0.0327561454422447,0.09985529268555249,0.4571949605693002,-0.09485713413783481,-0.00021503213460538628
,0.08516610310481898,0.07380611290068817,0.4134791534429034,-0.1074285779680525,0.008488746256550161
,0.17220394259746596,0.06222869966297062,0.4298725376875081,-0.029714311872209853,0.017224807687336696
,0.08797375231334059,0.03617945087128027,0.37887076270671205,-0.06857147216796877,-0.04348378697212296
,-0.032288278285456995,-0.08248910382215013,0.1857924408539502,-0.1428571428571429,-0.09912840308106619
,0.06457646731735478,-0.04486251079956827,0.23315123190754683,-0.048000008719307985,-0.09823435477547993
,-0.004211518439562134,-0.09985529268555249,0.13114759509036622,-0.11771430969238283,-0.11761535345243967
,0.23397284995985812,0.041968157490138935,0.2477231676163456,0.07314289637974336,-0.010289485176948832
2025/04/10,0.21151138853100693,0.041968157490138935,0.2477231676163456,0.07657143729073668,-0.05292138368719945
,0.2208703382308248,0.04920407526712545,0.2459017190805397,0.04000004359654019,-0.033436311714645894
,0.1862423671471929,0.015918977705274617,0.27322405510674375,0.012571389334542493,-0.027251287681277492
,0.1885820599453678,0.001447211158127848,0.24408018368914597,-0.014857155936104927,-0.0277315825541099
,0.14974257042217376,-0.06801733727500325,0.1675774343623635,-0.05714285714285716,-0.05755354836321036
,0.20449222088292296,-0.07091169058443259,0.1675774343623635,-0.04914289202008926,-0.05875044770141935
,0.12447354903835994,-0.09696093937612305,0.06921678147238297,-0.07314289637974325,-0.08276648943729426
,0.1960691840037987,-0.09551372821799531,0.08196726864537585,-0.020571463448660676,-0.05794308951624094
,0.2540944400834164,0.031837955410549235,0.16029146650796422,0.04114281790597096,-0.03438471066212856
,0.328497813510936,0.06367584181427222,0.26411663871653834,0.06285716465541302,-0.007916004497501516
,0.3523630549172687,0.08972509060596279,0.29872502945272994,0.07085712977818082,0.004619409489023729
,0.3430041944710098,0.06657019512370166,0.29872502945272994,0.053714316231863846,0.003647983478307859
,0.31445947821476805,0.013024624395845175,0.25865211939794497,0.012571389334542493,0.009149306913616151
,0.2849788491378329,0.0,0.22768671258895323,0.013714272635323654,0.008283534487147248
