銘柄,株価($),時価総額,現金残高,直近の重要開示(SEC)
IONQ,43.25,$15.90B,"$1,030.9M",SCHEDULE 13D (2026/04/01)
RGTI,19.11,$6.35B,$44.9M,8 (2026/04/07)
QBTS,20.81,$7.70B,$635.3M,4 (2026/04/15)
QUBT,9.40,$2.11B,$737.9M,4 (2026/04/14)
